========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-07-01 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-07-01 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
2019-07-04 10:45  to 2019-07-04 11:00,0.185,,
2019-07-04 11:00  to 2019-07-04 11:15,0.163,,
2019-07-04 11:15  to 2019-07-04 11:30,0.106,,
2019-07-04 11:30  to 2019-07-04 11:45,0.160,,
2019-07-04 11:45  to 2019-07-04 12:00,0.181,,
2019-07-04 12:00  to 2019-07-04 12:15,0.123,,
2019-07-04 12:15  to 2019-07-04 12:30,0.045,,
2019-07-04 12:30  to 2019-07-04 12:45,0.122,,
2019-07-04 12:45  to 2019-07-04 13:00,0.063,,
2019-07-04 13:00  to 2019-07-04 13:15,0.013,,
2019-07-04 13:15  to 2019-07-04 13:30,0.090,,
2019-07-04 13:30  to 2019-07-04 13:45,0.133,,
2019-07-04 13:45  to 2019-07-04 14:00,0.120,,
2019-07-04 14:00  to 2019-07-04 14:15,0.110,,
2019-07-04 14:15  to 2019-07-04 14:30,0.117,,
2019-07-04 14:30  to 2019-07-04 14:45,0.000,,
2019-07-04 14:45  to 2019-07-04 15:00,0.005,,
2019-07-04 15:00  to 2019-07-04 15:15,0.012,,
2019-07-04 15:15  to 2019-07-04 15:30,0.000,,
2019-07-04 15:30  to 2019-07-04 15:45,0.000,,
2019-07-04 15:45  to 2019-07-04 16:00,0.000,,
2019-07-04 16:00  to 2019-07-04 16:15,0.000,,
2019-07-04 16:15  to 2019-07-04 16:30,0.000,,
2019-07-04 16:30  to 2019-07-04 16:45,0.000,,
2019-07-04 16:45  to 2019-07-04 17:00,0.000,,
2019-07-04 17:00  to 2019-07-04 17:15,0.000,,
2019-07-04 17:15  to 2019-07-04 17:30,0.000,,
2019-07-04 17:30  to 2019-07-04 17:45,0.000,,
2019-07-04 17:45  to 2019-07-04 18:00,0.000,,
2019-07-04 18:00  to 2019-07-04 18:15,0.000,,
2019-07-04 18:15  to 2019-07-04 18:30,0.000,,
2019-07-04 18:30  to 2019-07-04 18:45,0.000,,
2019-07-04 18:45  to 2019-07-04 19:00,0.000,,
2019-07-04 19:00  to 2019-07-04 19:15,0.000,,
2019-07-04 19:15  to 2019-07-04 19:30,0.000,,
2019-07-04 19:30  to 2019-07-04 19:45,0.000,,
2019-07-04 19:45  to 2019-07-04 20:00,0.000,,
2019-07-04 20:00  to 2019-07-04 20:15,0.000,,
2019-07-04 20:15  to 2019-07-04 20:30,0.000,,
2019-07-04 20:30  to 2019-07-04 20:45,0.000,,
2019-07-04 20:45  to 2019-07-04 21:00,0.000,,
2019-07-04 21:00  to 2019-07-04 21:15,0.000,,
2019-07-04 21:15  to 2019-07-04 21:30,0.000,,
2019-07-04 21:30  to 2019-07-04 21:45,0.000,,
2019-07-04 21:45  to 2019-07-04 22:00,0.000,,
2019-07-04 22:00  to 2019-07-04 22:15,0.000,,
2019-07-04 22:15  to 2019-07-04 22:30,0.000,,
2019-07-04 22:30  to 2019-07-04 22:45,0.000,,
2019-07-04 22:45  to 2019-07-04 23:00,0.000,,
2019-07-04 23:00  to 2019-07-04 23:15,0.000,,
2019-07-04 23:15  to 2019-07-04 23:30,0.000,,
2019-07-04 23:30  to 2019-07-04 23:45,0.000,,
2019-07-04 23:45  to 2019-07-05 00:00,0.000,,

========================================
Interval Blockdata for period starting:, 2019-07-05 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-07-05 00:00  to 2019-07-05 00:15,0.000,,
2019-07-05 00:15  to 2019-07-05 00:30,0.000,,
2019-07-05 00:30  to 2019-07-05 00:45,0.000,,
2019-07-05 00:45  to 2019-07-05 01:00,0.000,,
2019-07-05 01:00  to 2019-07-05 01:15,0.000,,
2019-07-05 01:15  to 2019-07-05 01:30,0.000,,
