Where,1stD H,TotYd H,PassY H,RushY H,TO H,1stD A,TotYd A,PassY A,RushY A,TO A,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,Outcome
H,11,223,78,145,2,23,442,312,130,1,-12,-219,-234,15,1,L
A,13,271,183,88,2,22,517,294,223,1,-9,-246,-111,-135,1,L
A,21,288,121,167,2,18,243,119,124,0,3,45,2,43,2,W
H,20,326,260,66,1,16,175,102,73,2,4,151,158,-7,-1,W
A,24,381,272,109,2,17,305,188,117,0,7,76,84,-8,2,L
A,21,377,189,188,1,22,346,265,81,2,-1,31,-76,107,-1,W
A,29,452,249,203,0,27,503,363,140,0,2,-51,-114,63,0,L
A,15,308,276,32,1,24,465,366,99,0,-9,-157,-90,-67,1,L
A,18,344,207,137,1,17,345,283,62,7,1,-1,-76,75,-6,W
H,28,510,373,137,1,10,237,197,40,0,18,273,176,97,1,W
A,19,298,224,74,0,21,255,174,81,1,-2,43,50,-7,-1,W
A,18,257,139,118,1,16,209,105,104,1,2,48,34,14,0,W
H,24,422,364,58,1,22,365,227,138,0,2,57,137,-80,1,L
A,35,472,280,192,3,20,309,256,53,2,15,163,24,139,1,W
A,25,432,312,120,1,17,305,134,171,1,8,127,178,-51,0,W
A,24,401,297,104,0,19,470,372,98,0,5,-69,-75,6,0,L
A,22,376,173,203,0,25,435,310,125,2,-3,-59,-137,78,-2,L
A,20,415,319,96,3,12,292,192,100,0,8,123,127,-4,3,L
H,22,278,213,65,2,20,362,114,248,0,2,-84,99,-183,2,L
A,25,331,151,180,1,18,324,288,36,1,7,7,-137,144,0,W
H,26,397,268,129,2,21,351,210,141,2,5,46,58,-12,0,W
A,17,308,212,96,0,17,377,230,147,1,0,-69,-18,-51,-1,L
H,18,266,149,117,1,15,257,212,45,3,3,9,-63,72,-2,W
H,24,443,393,50,1,27,364,211,153,0,-3,79,182,-103,1,L
A,19,366,267,99,0,21,284,265,19,0,-2,82,2,80,0,W
H,30,510,441,69,3,18,322,171,151,0,12,188,270,-82,3,L
