Where,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,Outcome,,,,,,,,
A,Medium,MediumHigh,MediumHigh,MediumHigh,High,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumLow,Medium,L,,,,,,,,
H,MediumLow,MediumLow,MediumLow,MediumHigh,MediumLow,W,,,,,,,,
A,Medium,Medium,Medium,MediumHigh,MediumHigh,L,,,,,,,,
H,MediumHigh,High,Medium,High,Medium,W,,,,,,,,
A,High,MediumHigh,High,Medium,Medium,L,,,,,,,,
A,High,MediumHigh,MediumLow,High,High,W,,,,,,,,
H,High,High,High,MediumHigh,High,W,,,,,,,,
H,High,MediumHigh,Medium,High,MediumLow,W,,,,,,,,
A,High,High,High,MediumHigh,MediumHigh,W,,,,,,,,
A,Medium,High,MediumLow,High,MediumLow,W,,,,,,,,
H,Medium,Medium,MediumHigh,MediumLow,Medium,L,,,,,,,,
A,High,High,High,High,Medium,W,,,,,,,,
H,MediumHigh,MediumHigh,High,Medium,High,L,,,,,,,,
H,Medium,Medium,MediumHigh,Medium,High,L,,,,,,,,
H,MediumHigh,Medium,Medium,Medium,High,L,,,,,,,,
A,High,MediumHigh,High,Medium,High,L,,,,,,,,
H,Medium,MediumLow,MediumLow,MediumLow,High,L,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,Medium,High,L,,,,,,,,
A,Medium,Medium,Medium,Medium,High,W,,,,,,,,
H,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,L,,,,,,,,
H,Medium,MediumHigh,High,Medium,MediumHigh,W,,,,,,,,
A,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumLow,W,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,W,,,,,,,,
H,Medium,Medium,MediumLow,MediumHigh,MediumHigh,L,,,,,,,,
A,MediumLow,MediumLow,Medium,Medium,MediumLow,W,,,,,,,,
A,High,MediumHigh,High,MediumLow,High,L,,,,,,,,
H,High,High,High,MediumHigh,High,W,,,,,,,,
A,MediumHigh,MediumLow,MediumLow,MediumHigh,High,L,,,,,,,,
A,MediumHigh,MediumHigh,MediumHigh,MediumHigh,High,L,,,,,,,,
H,Medium,MediumLow,Medium,MediumLow,High,L,,,,,,,,
A,Medium,MediumHigh,Medium,High,High,W,,,,,,,,
A,High,High,High,Medium,High,W,,,,,,,,
A,MediumHigh,MediumHigh,MediumHigh,MediumHigh,Medium,W,,,,,,,,
H,High,High,High,High,MediumLow,W,,,,,,,,
H,High,MediumHigh,High,MediumLow,Medium,W,,,,,,,,
H,MediumHigh,Medium,High,MediumLow,MediumLow,W,,,,,,,,
A,MediumLow,MediumHigh,MediumHigh,Medium,MediumHigh,L,,,,,,,,
A,MediumHigh,MediumLow,Medium,Medium,MediumHigh,L,,,,,,,,
A,Medium,MediumHigh,Medium,MediumHigh,High,L,,,,,,,,
A,MediumHigh,MediumHigh,MediumHigh,Medium,High,L,,,,,,,,
A,MediumLow,MediumLow,Medium,MediumLow,High,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,Medium,Medium,L,,,,,,,,
A,Medium,High,Medium,High,Medium,W,,,,,,,,
H,High,High,High,MediumHigh,MediumLow,W,,,,,,,,
H,MediumHigh,Medium,MediumLow,High,High,W,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,MediumHigh,High,W,,,,,,,,
H,MediumLow,MediumLow,MediumLow,MediumHigh,High,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumLow,High,L,,,,,,,,
A,MediumHigh,MediumHigh,MediumHigh,MediumHigh,High,W,,,,,,,,
H,MediumHigh,High,High,Medium,Medium,W,,,,,,,,
A,High,MediumHigh,High,Medium,High,L,,,,,,,,
A,Medium,MediumHigh,MediumLow,High,Medium,W,,,,,,,,
A,MediumHigh,Medium,MediumLow,High,MediumHigh,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumLow,High,L,,,,,,,,
A,MediumHigh,Medium,MediumLow,High,MediumLow,W,,,,,,,,
H,High,High,High,High,High,W,,,,,,,,
A,Medium,MediumHigh,MediumHigh,Medium,Medium,W,,,,,,,,
A,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,W,,,,,,,,
H,MediumHigh,MediumHigh,High,MediumLow,High,L,,,,,,,,
A,High,High,MediumHigh,High,High,W,,,,,,,,
A,High,High,High,Medium,MediumHigh,W,,,,,,,,
A,MediumHigh,Medium,MediumLow,MediumHigh,MediumHigh,L,,,,,,,,
A,Medium,Medium,MediumLow,High,MediumLow,L,,,,,,,,
A,High,High,High,Medium,High,L,,,,,,,,
H,MediumHigh,MediumLow,High,MediumLow,High,L,,,,,,,,
A,High,MediumHigh,MediumLow,High,MediumHigh,W,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,Medium,MediumHigh,W,,,,,,,,
A,MediumHigh,Medium,Medium,Medium,Medium,L,,,,,,,,
H,MediumHigh,MediumHigh,Medium,High,MediumLow,W,,,,,,,,
H,Medium,High,High,MediumLow,High,L,,,,,,,,
A,Medium,High,MediumHigh,High,MediumHigh,W,,,,,,,,
H,High,High,High,MediumLow,High,L,,,,,,,,
