========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-05-15 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-05-15 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
2018-05-16 15:15  to 2018-05-16 15:30,0.157,,
2018-05-16 15:30  to 2018-05-16 15:45,0.040,,
2018-05-16 15:45  to 2018-05-16 16:00,0.121,,
2018-05-16 16:00  to 2018-05-16 16:15,0.151,,
2018-05-16 16:15  to 2018-05-16 16:30,0.163,,
2018-05-16 16:30  to 2018-05-16 16:45,0.000,,
2018-05-16 16:45  to 2018-05-16 17:00,0.002,,
2018-05-16 17:00  to 2018-05-16 17:15,0.033,,
2018-05-16 17:15  to 2018-05-16 17:30,0.301,,
2018-05-16 17:30  to 2018-05-16 17:45,0.230,,
2018-05-16 17:45  to 2018-05-16 18:00,0.374,,
2018-05-16 18:00  to 2018-05-16 18:15,0.161,,
2018-05-16 18:15  to 2018-05-16 18:30,0.141,,
2018-05-16 18:30  to 2018-05-16 18:45,0.134,,
2018-05-16 18:45  to 2018-05-16 19:00,0.138,,
2018-05-16 19:00  to 2018-05-16 19:15,0.105,,
2018-05-16 19:15  to 2018-05-16 19:30,0.048,,
2018-05-16 19:30  to 2018-05-16 19:45,0.067,,
2018-05-16 19:45  to 2018-05-16 20:00,0.042,,
2018-05-16 20:00  to 2018-05-16 20:15,0.071,,
2018-05-16 20:15  to 2018-05-16 20:30,0.114,,
2018-05-16 20:30  to 2018-05-16 20:45,0.110,,
2018-05-16 20:45  to 2018-05-16 21:00,0.064,,
2018-05-16 21:00  to 2018-05-16 21:15,0.088,,
2018-05-16 21:15  to 2018-05-16 21:30,0.078,,
2018-05-16 21:30  to 2018-05-16 21:45,0.108,,
2018-05-16 21:45  to 2018-05-16 22:00,0.101,,
2018-05-16 22:00  to 2018-05-16 22:15,0.220,,
2018-05-16 22:15  to 2018-05-16 22:30,0.159,,
2018-05-16 22:30  to 2018-05-16 22:45,0.165,,
2018-05-16 22:45  to 2018-05-16 23:00,0.048,,
2018-05-16 23:00  to 2018-05-16 23:15,0.048,,
2018-05-16 23:15  to 2018-05-16 23:30,0.070,,
2018-05-16 23:30  to 2018-05-16 23:45,0.056,,
2018-05-16 23:45  to 2018-05-17 00:00,0.044,,

========================================
Interval Blockdata for period starting:, 2018-05-17 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-05-17 00:00  to 2018-05-17 00:15,0.053,,
2018-05-17 00:15  to 2018-05-17 00:30,0.065,,
2018-05-17 00:30  to 2018-05-17 00:45,0.043,,
2018-05-17 00:45  to 2018-05-17 01:00,0.065,,
2018-05-17 01:00  to 2018-05-17 01:15,0.085,,
2018-05-17 01:15  to 2018-05-17 01:30,0.071,,
2018-05-17 01:30  to 2018-05-17 01:45,0.060,,
2018-05-17 01:45  to 2018-05-17 02:00,0.061,,
2018-05-17 02:00  to 2018-05-17 02:15,0.088,,
2018-05-17 02:15  to 2018-05-17 02:30,0.043,,
2018-05-17 02:30  to 2018-05-17 02:45,0.038,,
2018-05-17 02:45  to 2018-05-17 03:00,0.048,,
2018-05-17 03:00  to 2018-05-17 03:15,0.062,,
2018-05-17 03:15  to 2018-05-17 03:30,0.036,,
2018-05-17 03:30  to 2018-05-17 03:45,0.033,,
2018-05-17 03:45  to 2018-05-17 04:00,0.053,,
2018-05-17 04:00  to 2018-05-17 04:15,0.053,,
2018-05-17 04:15  to 2018-05-17 04:30,0.039,,
2018-05-17 04:30  to 2018-05-17 04:45,0.038,,
