========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-02-16 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-02-16 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
Interval Blockdata for period starting:, 2019-02-18 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-02-18 00:00  to 2019-02-18 00:15,0.000,,
2019-02-18 00:15  to 2019-02-18 00:30,0.000,,
2019-02-18 00:30  to 2019-02-18 00:45,0.000,,
2019-02-18 00:45  to 2019-02-18 01:00,0.000,,
2019-02-18 01:00  to 2019-02-18 01:15,0.000,,
2019-02-18 01:15  to 2019-02-18 01:30,0.000,,
2019-02-18 01:30  to 2019-02-18 01:45,0.000,,
2019-02-18 01:45  to 2019-02-18 02:00,0.000,,
2019-02-18 02:00  to 2019-02-18 02:15,0.000,,
2019-02-18 02:15  to 2019-02-18 02:30,0.000,,
2019-02-18 02:30  to 2019-02-18 02:45,0.000,,
2019-02-18 02:45  to 2019-02-18 03:00,0.000,,
2019-02-18 03:00  to 2019-02-18 03:15,0.000,,
2019-02-18 03:15  to 2019-02-18 03:30,0.000,,
2019-02-18 03:30  to 2019-02-18 03:45,0.000,,
2019-02-18 03:45  to 2019-02-18 04:00,0.000,,
2019-02-18 04:00  to 2019-02-18 04:15,0.000,,
2019-02-18 04:15  to 2019-02-18 04:30,0.000,,
2019-02-18 04:30  to 2019-02-18 04:45,0.000,,
2019-02-18 04:45  to 2019-02-18 05:00,0.000,,
2019-02-18 05:00  to 2019-02-18 05:15,0.000,,
2019-02-18 05:15  to 2019-02-18 05:30,0.000,,
2019-02-18 05:30  to 2019-02-18 05:45,0.000,,
2019-02-18 05:45  to 2019-02-18 06:00,0.000,,
2019-02-18 06:00  to 2019-02-18 06:15,0.000,,
2019-02-18 06:15  to 2019-02-18 06:30,0.000,,
2019-02-18 06:30  to 2019-02-18 06:45,0.000,,
2019-02-18 06:45  to 2019-02-18 07:00,0.000,,
2019-02-18 07:00  to 2019-02-18 07:15,0.000,,
2019-02-18 07:15  to 2019-02-18 07:30,0.000,,
2019-02-18 07:30  to 2019-02-18 07:45,0.000,,
2019-02-18 07:45  to 2019-02-18 08:00,0.000,,
2019-02-18 08:00  to 2019-02-18 08:15,0.000,,
2019-02-18 08:15  to 2019-02-18 08:30,0.000,,
2019-02-18 08:30  to 2019-02-18 08:45,0.000,,
2019-02-18 08:45  to 2019-02-18 09:00,0.000,,
2019-02-18 09:00  to 2019-02-18 09:15,0.000,,
2019-02-18 09:15  to 2019-02-18 09:30,0.000,,
2019-02-18 09:30  to 2019-02-18 09:45,0.000,,
2019-02-18 09:45  to 2019-02-18 10:00,0.000,,
2019-02-18 10:00  to 2019-02-18 10:15,0.000,,
2019-02-18 10:15  to 2019-02-18 10:30,0.000,,
2019-02-18 10:30  to 2019-02-18 10:45,0.000,,
2019-02-18 10:45  to 2019-02-18 11:00,0.000,,
2019-02-18 11:00  to 2019-02-18 11:15,0.000,,
2019-02-18 11:15  to 2019-02-18 11:30,0.000,,
2019-02-18 11:30  to 2019-02-18 11:45,0.000,,
2019-02-18 11:45  to 2019-02-18 12:00,0.000,,
2019-02-18 12:00  to 2019-02-18 12:15,0.000,,
2019-02-18 12:15  to 2019-02-18 12:30,0.000,,
2019-02-18 12:30  to 2019-02-18 12:45,0.000,,
2019-02-18 12:45  to 2019-02-18 13:00,0.000,,
2019-02-18 13:00  to 2019-02-18 13:15,0.000,,
2019-02-18 13:15  to 2019-02-18 13:30,0.000,,
2019-02-18 13:30  to 2019-02-18 13:45,0.000,,
2019-02-18 13:45  to 2019-02-18 14:00,0.000,,
2019-02-18 14:00  to 2019-02-18 14:15,0.000,,
2019-02-18 14:15  to 2019-02-18 14:30,0.000,,
2019-02-18 14:30  to 2019-02-18 14:45,0.000,,
2019-02-18 14:45  to 2019-02-18 15:00,0.000,,
2019-02-18 15:00  to 2019-02-18 15:15,0.000,,
2019-02-18 15:15  to 2019-02-18 15:30,0.000,,
2019-02-18 15:30  to 2019-02-18 15:45,0.000,,
2019-02-18 15:45  to 2019-02-18 16:00,0.001,,
2019-02-18 16:00  to 2019-02-18 16:15,0.010,,
2019-02-18 16:15  to 2019-02-18 16:30,0.001,,
2019-02-18 16:30  to 2019-02-18 16:45,0.000,,
2019-02-18 16:45  to 2019-02-18 17:00,0.000,,
2019-02-18 17:00  to 2019-02-18 17:15,0.000,,
2019-02-18 17:15  to 2019-02-18 17:30,0.000,,
2019-02-18 17:30  to 2019-02-18 17:45,0.000,,
2019-02-18 17:45  to 2019-02-18 18:00,0.000,,
2019-02-18 18:00  to 2019-02-18 18:15,0.000,,
2019-02-18 18:15  to 2019-02-18 18:30,0.000,,
2019-02-18 18:30  to 2019-02-18 18:45,0.000,,
2019-02-18 18:45  to 2019-02-18 19:00,0.000,,
2019-02-18 19:00  to 2019-02-18 19:15,0.000,,
2019-02-18 19:15  to 2019-02-18 19:30,0.000,,
2019-02-18 19:30  to 2019-02-18 19:45,0.000,,
2019-02-18 19:45  to 2019-02-18 20:00,0.000,,
2019-02-18 20:00  to 2019-02-18 20:15,0.000,,
2019-02-18 20:15  to 2019-02-18 20:30,0.000,,
2019-02-18 20:30  to 2019-02-18 20:45,0.000,,
2019-02-18 20:45  to 2019-02-18 21:00,0.000,,
2019-02-18 21:00  to 2019-02-18 21:15,0.000,,
2019-02-18 21:15  to 2019-02-18 21:30,0.000,,
2019-02-18 21:30  to 2019-02-18 21:45,0.000,,
2019-02-18 21:45  to 2019-02-18 22:00,0.000,,
2019-02-18 22:00  to 2019-02-18 22:15,0.000,,
2019-02-18 22:15  to 2019-02-18 22:30,0.000,,
2019-02-18 22:30  to 2019-02-18 22:45,0.000,,
2019-02-18 22:45  to 2019-02-18 23:00,0.000,,
2019-02-18 23:00  to 2019-02-18 23:15,0.000,,
2019-02-18 23:15  to 2019-02-18 23:30,0.000,,
2019-02-18 23:30  to 2019-02-18 23:45,0.000,,
2019-02-18 23:45  to 2019-02-19 00:00,0.000,,

========================================
Interval Blockdata for period starting:, 2019-02-19 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-02-19 00:00  to 2019-02-19 00:15,0.000,,
2019-02-19 00:15  to 2019-02-19 00:30,0.000,,
2019-02-19 00:30  to 2019-02-19 00:45,0.000,,
2019-02-19 00:45  to 2019-02-19 01:00,0.000,,
2019-02-19 01:00  to 2019-02-19 01:15,0.000,,
2019-02-19 01:15  to 2019-02-19 01:30,0.000,,
2019-02-19 01:30  to 2019-02-19 01:45,0.000,,
2019-02-19 01:45  to 2019-02-19 02:00,0.000,,
2019-02-19 02:00  to 2019-02-19 02:15,0.000,,
2019-02-19 02:15  to 2019-02-19 02:30,0.000,,
2019-02-19 02:30  to 2019-02-19 02:45,0.000,,
2019-02-19 02:45  to 2019-02-19 03:00,0.000,,
2019-02-19 03:00  to 2019-02-19 03:15,0.000,,
2019-02-19 03:15  to 2019-02-19 03:30,0.000,,
2019-02-19 03:30  to 2019-02-19 03:45,0.000,,
2019-02-19 03:45  to 2019-02-19 04:00,0.000,,
2019-02-19 04:00  to 2019-02-19 04:15,0.000,,
2019-02-19 04:15  to 2019-02-19 04:30,0.000,,
2019-02-19 04:30  to 2019-02-19 04:45,0.000,,
2019-02-19 04:45  to 2019-02-19 05:00,0.000,,
2019-02-19 05:00  to 2019-02-19 05:15,0.000,,
2019-02-19 05:15  to 2019-02-19 05:30,0.000,,
2019-02-19 05:30  to 2019-02-19 05:45,0.000,,
2019-02-19 05:45  to 2019-02-19 06:00,0.000,,
2019-02-19 06:00  to 2019-02-19 06:15,0.000,,
2019-02-19 06:15  to 2019-02-19 06:30,0.000,,
2019-02-19 06:30  to 2019-02-19 06:45,0.000,,
2019-02-19 06:45  to 2019-02-19 07:00,0.000,,
2019-02-19 07:00  to 2019-02-19 07:15,0.000,,
2019-02-19 07:15  to 2019-02-19 07:30,0.000,,
2019-02-19 07:30  to 2019-02-19 07:45,0.000,,
2019-02-19 07:45  to 2019-02-19 08:00,0.000,,
2019-02-19 08:00  to 2019-02-19 08:15,0.000,,
2019-02-19 08:15  to 2019-02-19 08:30,0.005,,
2019-02-19 08:30  to 2019-02-19 08:45,0.002,,
2019-02-19 08:45  to 2019-02-19 09:00,0.005,,
2019-02-19 09:00  to 2019-02-19 09:15,0.005,,
2019-02-19 09:15  to 2019-02-19 09:30,0.004,,
2019-02-19 09:30  to 2019-02-19 09:45,0.021,,
2019-02-19 09:45  to 2019-02-19 10:00,0.075,,
2019-02-19 10:00  to 2019-02-19 10:15,0.101,,
2019-02-19 10:15  to 2019-02-19 10:30,0.111,,
2019-02-19 10:30  to 2019-02-19 10:45,0.118,,
2019-02-19 10:45  to 2019-02-19 11:00,0.120,,
2019-02-19 11:00  to 2019-02-19 11:15,0.010,,
2019-02-19 11:15  to 2019-02-19 11:30,0.127,,
2019-02-19 11:30  to 2019-02-19 11:45,0.154,,
2019-02-19 11:45  to 2019-02-19 12:00,0.165,,
2019-02-19 12:00  to 2019-02-19 12:15,0.174,,
2019-02-19 12:15  to 2019-02-19 12:30,0.177,,
2019-02-19 12:30  to 2019-02-19 12:45,0.139,,
2019-02-19 12:45  to 2019-02-19 13:00,0.156,,
2019-02-19 13:00  to 2019-02-19 13:15,0.186,,
2019-02-19 13:15  to 2019-02-19 13:30,0.176,,
2019-02-19 13:30  to 2019-02-19 13:45,0.174,,
2019-02-19 13:45  to 2019-02-19 14:00,0.197,,
2019-02-19 14:00  to 2019-02-19 14:15,0.183,,
2019-02-19 14:15  to 2019-02-19 14:30,0.163,,
2019-02-19 14:30  to 2019-02-19 14:45,0.106,,
2019-02-19 14:45  to 2019-02-19 15:00,0.084,,
2019-02-19 15:00  to 2019-02-19 15:15,0.070,,
2019-02-19 15:15  to 2019-02-19 15:30,0.010,,
2019-02-19 15:30  to 2019-02-19 15:45,0.000,,
2019-02-19 15:45  to 2019-02-19 16:00,0.003,,
2019-02-19 16:00  to 2019-02-19 16:15,0.005,,
2019-02-19 16:15  to 2019-02-19 16:30,0.005,,
2019-02-19 16:30  to 2019-02-19 16:45,0.000,,
2019-02-19 16:45  to 2019-02-19 17:00,0.000,,
2019-02-19 17:00  to 2019-02-19 17:15,0.000,,
2019-02-19 17:15  to 2019-02-19 17:30,0.000,,
2019-02-19 17:30  to 2019-02-19 17:45,0.000,,
2019-02-19 17:45  to 2019-02-19 18:00,0.000,,
2019-02-19 18:00  to 2019-02-19 18:15,0.000,,
2019-02-19 18:15  to 2019-02-19 18:30,0.000,,
2019-02-19 18:30  to 2019-02-19 18:45,0.000,,
2019-02-19 18:45  to 2019-02-19 19:00,0.000,,
2019-02-19 19:00  to 2019-02-19 19:15,0.000,,
2019-02-19 19:15  to 2019-02-19 19:30,0.000,,
2019-02-19 19:30  to 2019-02-19 19:45,0.000,,
2019-02-19 19:45  to 2019-02-19 20:00,0.000,,
2019-02-19 20:00  to 2019-02-19 20:15,0.000,,
2019-02-19 20:15  to 2019-02-19 20:30,0.000,,
2019-02-19 20:30  to 2019-02-19 20:45,0.000,,
2019-02-19 20:45  to 2019-02-19 21:00,0.000,,
2019-02-19 21:00  to 2019-02-19 21:15,0.000,,
2019-02-19 21:15  to 2019-02-19 21:30,0.000,,
2019-02-19 21:30  to 2019-02-19 21:45,0.000,,
2019-02-19 21:45  to 2019-02-19 22:00,0.000,,
2019-02-19 22:00  to 2019-02-19 22:15,0.000,,
2019-02-19 22:15  to 2019-02-19 22:30,0.000,,
2019-02-19 22:30  to 2019-02-19 22:45,0.000,,
2019-02-19 22:45  to 2019-02-19 23:00,0.000,,
2019-02-19 23:00  to 2019-02-19 23:15,0.000,,
2019-02-19 23:15  to 2019-02-19 23:30,0.000,,
2019-02-19 23:30  to 2019-02-19 23:45,0.000,,
2019-02-19 23:45  to 2019-02-20 00:00,0.000,,

========================================
Interval Blockdata for period starting:, 2019-02-20 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-02-20 00:00  to 2019-02-20 00:15,0.000,,
2019-02-20 00:15  to 2019-02-20 00:30,0.000,,
2019-02-20 00:30  to 2019-02-20 00:45,0.000,,
2019-02-20 00:45  to 2019-02-20 01:00,0.000,,
2019-02-20 01:00  to 2019-02-20 01:15,0.000,,
2019-02-20 01:15  to 2019-02-20 01:30,0.000,,
2019-02-20 01:30  to 2019-02-20 01:45,0.000,,
2019-02-20 01:45  to 2019-02-20 02:00,0.000,,
2019-02-20 02:00  to 2019-02-20 02:15,0.000,,
2019-02-20 02:15  to 2019-02-20 02:30,0.000,,
2019-02-20 02:30  to 2019-02-20 02:45,0.000,,
2019-02-20 02:45  to 2019-02-20 03:00,0.000,,
2019-02-20 03:00  to 2019-02-20 03:15,0.000,,
